State,County name,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes
KS,Riley County,Small metro,44,514
KS,Rooks County,Noncore,11,49
KS,Russell County,Noncore,14,108
KS,Saline County,Micropolitan,144,865
KS,Scott County,Noncore,19,59
KS,Sedgwick County,Medium metro,840,7270
KS,Seward County,Micropolitan,39,183
KS,Shawnee County,Small metro,402,2924
KS,Sumner County,Medium metro,24,261
KS,Thomas County,Noncore,11,69
KS,Wyandotte County,Large fringe metro,410,2522
KY,Allen County,Small metro,14,164
KY,Barren County,Micropolitan,94,721
KY,Bell County,Micropolitan,39,354
KY,Boone County,Large fringe metro,63,939
KY,Boyd County,Medium metro,173,1381
KY,Boyle County,Micropolitan,126,678
